Title,Authors,Abstract,Link,publication
Detection ofCancerDNA in Early Stage and Metastatic BreastCancerPatients.,"Arielle J Medford, Riaz N Gillani, Ben Ho Park, Arielle J Medford, Riaz N Gillani, Ben Ho Park","Breast cancer is the leading cause of cancer in women and the second leading cause of cancer-related death. There are many subtypes of breast cancer, which can be identified through the process of molecular and genetic profiling. While the current standard of care utilizes tumor tissue biopsy to subclassify breast cancer, plasma tumor DNA (ptDNA) can be detected through droplet digital PCR (ddPCR) of plasma obtained from a simple blood draw. Tissue biopsy is not only more invasive but because tumors exhibit heterogeneity it can be less accurate. Blood collects DNA shed from normal and cancerous cells alike, thus ddPCR of plasma offers a broader picture of a cancer's genetic makeup. This chapter summarizes how patients with breast cancer can be screened for specific cancerous mutations in both tissue and plasma through the use of ddPCR.",https://pubmed.ncbi.nlm.nih.gov//29717446/,2017
Cancer'sMoonshot.,"Leonard S Sender, Leonard S Sender",No abstract available,https://pubmed.ncbi.nlm.nih.gov//26891021/,2021
Exploitingcancer'sdrinking problem: regulation and therapeutic potential of macropinocytosis.,"Joseph Puccini, Michael Alexander Badgley, Dafna Bar-Sagi, Joseph Puccini, Michael Alexander Badgley, Dafna Bar-Sagi","Macropinocytosis, an evolutionarily conserved endocytic mechanism that mediates non-specific fluid-phase uptake, is potently upregulated by various oncogenic pathways. It is now well appreciated that high macropinocytic activity is a hallmark of many human tumors, which use this adaptation to scavenge extracellular nutrients for fueling cell growth. In the context of the nutrient-scarce tumor microenvironment, this process provides tumor cells with metabolic flexibility. However, dependence on this scavenging mechanism also illuminates a potential metabolic vulnerability. As such, there is a great deal of interest in understanding the molecular underpinnings of macropinocytosis. In this review, we will discuss the most recent advances in characterizing macropinocytosis: the pathways that regulate it, its contribution to the metabolic fitness of cancer cells, and its therapeutic potential.",https://pubmed.ncbi.nlm.nih.gov//34649835/,2023
Measuring Clonal Evolution inCancerwith Genomics.,"Marc J Williams, Andrea Sottoriva, Trevor A Graham, Marc J Williams, Andrea Sottoriva, Trevor A Graham","Cancers originate from somatic cells in the human body that have accumulated genetic alterations. These mutations modify the phenotype of the cells, allowing them to escape the homeostatic regulation that maintains normal cell number. Viewed through the lens of evolutionary biology, the transformation of normal cells into malignant cells is evolution in action. Evolution continues throughout cancer growth, progression, treatment resistance, and disease relapse, driven by adaptation to changes in the cancer's environment, and intratumor heterogeneity is an inevitable consequence of this evolutionary process. Genomics provides a powerful means to characterize tumor evolution, enabling quantitative measurement of evolving clones across space and time. In this review, we discuss concepts and approaches to quantify and measure this evolutionary process in cancer using genomics.",https://pubmed.ncbi.nlm.nih.gov//31059289/,2017
Sex differences incancerrisk and outcomes after kidney transplantation.,"Anna Buxeda, Dolores Redondo-Pachón, María José Pérez-Sáez, Marta Crespo, Julio Pascual, Anna Buxeda, Dolores Redondo-Pachón, María José Pérez-Sáez, Marta Crespo, Julio Pascual","Kidney transplant recipients (KTRs) experience a two- to four-fold increased risk of developing and dying from cancer compared with the general population. High cancer risk results from the interaction of both modifiable and non-modifiable factors. This mapping review explores the impact of sex disparity on cancer's increased incidence and mortality after kidney transplantation (KT). In terms of age, population-based studies indicate that younger recipients of both sexes experience a higher risk of cancer, but this is more pronounced in young women. On the contrary, older men are more likely to be diagnosed with cancer, although their increased risk is not statistically significant compared with the general population. Regarding cancer type, studies show an increased risk of Kaposi sarcoma, gynecologic and lung cancer in women, and bladder and kidney cancer in men. Immune-related cancers such as pos-transplant lymphoproliferative disorders and melanoma are increased in both sexes. Mortality also shows differences between sexes. Although cancer is the second cause of death in both male and female KTRs, studies show higher overall mortality in men and elderly recipients. However, the relative risk of cancer mortality compared with the general population is higher at a younger age, with disparate results regarding sex. Female KTRs appear to die at a younger age than males when compared with the general population. Differences in cancer rates by sex after renal transplantation need further studies. A better understanding of sex-specific differences in cancer epidemiology after KT could help nephrologists to better address pre-transplant counseling, to establish early surveillance programs, and to plan modifiable risk factors such as immunosuppression.",https://pubmed.ncbi.nlm.nih.gov//34020178/,2016
Cancer'spsychological challenges.,"J C Holland, J C Holland",No abstract available,https://pubmed.ncbi.nlm.nih.gov//8701286/,2017
"Signaling,cancercell plasticity, and intratumor heterogeneity.","Marco Cordani, Ilaria Dando, Giulia Ambrosini, Pedro González-Menéndez, Marco Cordani, Ilaria Dando, Giulia Ambrosini, Pedro González-Menéndez","Cancer's complexity is in part due to the presence of intratumor heterogeneity and the dynamic nature of cancer cell plasticity, which create substantial obstacles in effective cancer management. Variability within a tumor arises from the existence of diverse populations of cancer cells, impacting the progression, spread, and resistance to treatments. At the core of this variability is the concept of cellular plasticity - the intrinsic ability of cancer cells to alter their molecular and cellular identity in reaction to environmental and genetic changes. This adaptability is a cornerstone of cancer's persistence and progression, making it a formidable target for treatments. Emerging studies have emphasized the critical role of such plasticity in fostering tumor diversity, which in turn influences the course of the disease and the effectiveness of therapeutic strategies. The transformative nature of cancer involves a network of signal transduction pathways, notably those that drive the epithelial-to-mesenchymal transition and metabolic remodeling, shaping the evolutionary path of cancer cells. Despite advancements, our understanding of the precise molecular machinations and signaling networks driving these changes is still evolving, underscoring the necessity for further research. This editorial presents a series entitled ""Signaling Cancer Cell Plasticity and Intratumor Heterogeneity"" in Cell Communication and Signaling, dedicated to unraveling these complex processes and proposing new avenues for therapeutic intervention.",https://pubmed.ncbi.nlm.nih.gov//38702718/,2023
Dr. Kirby Bland: Breastcancer'sbiggest enemy.,"Ronald J Weigel, Ronald J Weigel",No abstract available,https://pubmed.ncbi.nlm.nih.gov//37302964/,2023
Innate sensing ofcancer'snon-immunologic hallmarks.,"Ruth Seelige, Stephen Searles, Jack D Bui, Ruth Seelige, Stephen Searles, Jack D Bui","A cancer mass consists of a complex composition of cancer cells, stromal cells, endothelial cells and also immune cells, which can represent more than half of the cellularity of a solid cancer. These immune cells become activated when they sense cancer antigens and stress ligands. Innate immune cells also detect various aspects of cellular stress that characterize a growing tumor mass. These key hallmarks of cellular stress are also detected by the cancer cell itself. In this review, we highlight studies that show that the cancer cell itself could be considered an 'innate cell' that senses and reacts to non-immunologic hallmarks of cancer, including displaced nucleic acids, proteotoxic stress, oxidative stress, and metabolic alterations.",https://pubmed.ncbi.nlm.nih.gov//29032295/,2017
Uncoveringcancer'ssecrets: could liquid biopsies and artificial intelligence hold the answers?,"Jade Parker, Jade Parker","Tweetable abstract How are #liquidbiopsies and #AI pushing us closer to the goal of early cancer detection for all? Plus, what more needs to be done to truly deciphers cancer's secrets? Find out in this editorial by @JadeParkerB.",https://pubmed.ncbi.nlm.nih.gov//37317873/,2022
Cancer'ssweet spot: techniques to harness saccharides in tumor biology.,"Jade Parker, Jade Parker","All of the cells in our bodies are enveloped in sugar, this sweet coating plays a particularly interesting and crucial role in tumor biology. Here, we review the techniques being used to detect and exploit cancer's sweet spot. including click chemistry, glycoproteomic profiling and bioorthogonal chemistry.",https://pubmed.ncbi.nlm.nih.gov//38047326/,2023
Gastric adenocarcinoma: A review of the TNM classification system and ways of spreading.,"P López Sala, M Leturia Etxeberria, E Inchausti Iguíñiz, A Astiazaran Rodríguez, M I Aguirre Oteiza, M Zubizarreta Etxaniz, P López Sala, M Leturia Etxeberria, E Inchausti Iguíñiz, A Astiazaran Rodríguez, M I Aguirre Oteiza, M Zubizarreta Etxaniz","Gastric cancer is the fifth most common cancer in the world. The most common histologic subtype is adenocarcinoma. Gastric adenocarcinomas are staged using the American Joint Committee on Cancer's 8th TNM classification. The perigastric ligaments, mesentery, omentum, and potential spaces between the parietal and visceral peritoneal linings play are important structures for staging. The spread of disease is influenced by the location of the tumor within the stomach, as well as by the anatomy related to the ligaments and lymph vessels. CT is the imaging modality of choice for the preoperative clinical staging of gastric cancer, and it is essential for planning treatment. To be able to do an adequate imaging workup, radiologists need to know the different pathways through which gastric cancer can spread: lymphatic, subperitoneal, direct invasion, transperitoneal, hematogenous, and extramural venous invasion.",https://pubmed.ncbi.nlm.nih.gov//36842787/,2020
Climbingcancer'sMYC mountain.,"Asher Mullard, Asher Mullard",No abstract available,https://pubmed.ncbi.nlm.nih.gov//36369371/,2019
The Intratumoral Heterogeneity ofCancerMetabolism.,"Karim Nabi, Anne Le, Karim Nabi, Anne Le","Cancer is one of the deadliest diseases in the world, especially within the past few decades, causing over half a million deaths a year in the USA only [1]. Despite recent advances made in the field of cancer biology and the therapies that have been developed, it is clear that more advances are necessary for us to classify cancer as curable. The logical question that arises is simple: Why, despite all the technologies and medical innovations of our time, has a cure eluded us? This chapter will shed light on one of cancer’s most impactful attributes: its heterogeneity and, more specifically, the intratumoral heterogeneity of cancer metabolism. Simply put, what makes cancer one of the deadliest known diseases is its ability to change and adapt. Cancer cells’ rapid evolution, coupled with their irrepressible ability to divide, gives them the advantage over our immune systems. In this chapter, we will delve into the complexities of this adaptability and the vital role that metabolism plays in the rise and progression of this heterogeneity.",https://pubmed.ncbi.nlm.nih.gov//29946781/,2023
Targetingcancer'smetabolic co-dependencies: A landscape shaped by genotype and tissue context.,"Junfeng Bi, Sihan Wu, Wenjing Zhang, Paul S Mischel, Junfeng Bi, Sihan Wu, Wenjing Zhang, Paul S Mischel","Tumors cells reprogram their metabolism to fuel rapid growth. The ability to trace nutrient fluxes in the context of specific alterations has provided new mechanistic insight into the process of oncogenic transformation. A broad array of complementary genetic, epigenetic, transcriptional and translational mechanisms has been identified, revealing a metabolic landscape of cancer. However, cancer metabolism is not a static or uniform process, including within a single tumor. Tumor cells adapt to changing environmental conditions, profoundly shaping the enzymatic dependencies of individual cells. The underlying molecular mechanisms of adaptation, and the specific interactions between tumor genotype, oncogenic signaling, and tissue/biochemical context, remain incompletely understood. In this review, we examine dynamic aspects of how metabolic dependencies develop in cancer, shaped both by genotype and biochemical environment, and review how these interlaced processes generate targetable metabolic vulnerabilities. This article is part of a Special Issue entitled: Cancer Metabolism edited by Dr. Chi Van Dang.",https://pubmed.ncbi.nlm.nih.gov//29775654/,2023
A Truckstop onCancer'sRoad.,"Gunsagar S Gulati, Gunsagar S Gulati",No abstract available,https://pubmed.ncbi.nlm.nih.gov//35581457/,2023
Decoding humancancerwith whole genome sequencing: a review of PCAWG Project studies published in February 2020.,"Simona Giunta, Simona Giunta","Cancer is underlined by genetic changes. In an unprecedented international effort, the Pan-Cancer Analysis of Whole Genomes (PCAWG) of the International Cancer Genome Consortium (ICGC) and The Cancer Genome Atlas (TCGA) sequenced the tumors of over two thousand five hundred patients across 38 different cancer types, as well as the corresponding healthy tissue, with the aim of identifying genome-wide mutations exclusively found in cancer and uncovering new genetic changes that drive tumor formation. What set this project apart from earlier efforts is the use of whole genome sequencing (WGS) that enabled to explore alterations beyond the coding DNA, into cancer's non-coding genome. WGS of the entire cohort allowed to tease apart driving mutations that initiate and support carcinogenesis from passenger mutations that do not play an overt role in the disease. At least one causative mutation was found in 95% of all cancers, with many tumors showing an average of 5 driver mutations. The PCAWG Project also assessed the transcriptional output altered in cancer and rebuilt the evolutionary history of each tumor showing that initial driver mutations can occur years if not decades prior to a diagnosis. Here, I provide a concise review of the Pan-Cancer Project papers published on February 2020, along with key computational tools and the digital framework generated as part of the project. This represents an historic effort by hundreds of international collaborators, which provides a comprehensive understanding of cancer genetics, with publicly available data and resources representing a treasure trove of information to advance cancer research for years to come.",https://pubmed.ncbi.nlm.nih.gov//34097189/,2018
AdaptiveCancerTherapy in the Age of Generative Artificial Intelligence.,"Youcef Derbal, Youcef Derbal","Therapeutic resistance is a major challenge facing the design of effective cancer treatments. Adaptive cancer therapy is in principle the most viable approach to manage cancer's adaptive dynamics through drug combinations with dose timing and modulation. However, there are numerous open issues facing the clinical success of adaptive therapy. Chief among these issues is the feasibility of real-time predictions of treatment response which represent a bedrock requirement of adaptive therapy. Generative artificial intelligence has the potential to learn prediction models of treatment response from clinical, molecular, and radiomics data about patients and their treatments. The article explores this potential through a proposed integration model of Generative Pre-Trained Transformers (GPTs) in a closed loop with adaptive treatments to predict the trajectories of disease progression. The conceptual model and the challenges facing its realization are discussed in the broader context of artificial intelligence integration in oncology.",https://pubmed.ncbi.nlm.nih.gov//38897721/,2016
Advancing preclinicalcancermodels to assess clinically relevant outcomes.,"Anna Golebiewska, Ryan C Fields, Anna Golebiewska, Ryan C Fields","Cancer models are indispensable research tools for elucidating the mechanisms involved in tumor onset, progression and treatment resistance. They are key in evaluating therapeutics prior clinical trials. In this editorial, we invite contributions for a BMC Cancer's Collection of articles addressing 'Advances in pre-clinical cancer models' towards relivable outcomes at the preclinical stage.",https://pubmed.ncbi.nlm.nih.gov//36899363/,2016
Recent progress in single-cellcancergenomics.,"Daphne Tsoucas, Guo-Cheng Yuan, Daphne Tsoucas, Guo-Cheng Yuan","The advent of single-cell sequencing has been revolutionary to the field of cancer genomics. Perfectly suited to capture cancer's heterogeneous nature, single-cell analyses provide information bulk sequencing could never hope to uncover. Many mechanisms of cancer have yet to be fully understood, and single-cell approaches are showing promise in their abilities to uncover these mysteries. Here we focus on the most recent single-cell methods for cancer genomics, and how they are not only providing insights into the inner workings of cancer, but are also transforming individualized therapy and non-invasive monitoring and diagnosis.",https://pubmed.ncbi.nlm.nih.gov//28126650/,2022
Evolution-Informed Strategies for Combating Drug Resistance inCancer.,"Kristi Lin-Rahardja, Davis T Weaver, Jessica A Scarborough, Jacob G Scott, Kristi Lin-Rahardja, Davis T Weaver, Jessica A Scarborough, Jacob G Scott","The ever-changing nature of cancer poses the most difficult challenge oncologists face today. Cancer's remarkable adaptability has inspired many to work toward understanding the evolutionary dynamics that underlie this disease in hopes of learning new ways to fight it. Eco-evolutionary dynamics of a tumor are not accounted for in most standard treatment regimens, but exploiting them would help us combat treatment-resistant effectively. Here, we outline several notable efforts to exploit these dynamics and circumvent drug resistance in cancer.",https://pubmed.ncbi.nlm.nih.gov//37047714/,2023
Cancer'sLasting Financial Burden: Evidence From a Longitudinal Assessment.,"Ya-Chen Tina Shih, Kelsey M Owsley, Lauren Hersch Nicholas, K Robin Yabroff, Cathy J Bradley, Ya-Chen Tina Shih, Kelsey M Owsley, Lauren Hersch Nicholas, K Robin Yabroff, Cathy J Bradley","Background:The purpose of this study was to conduct a longitudinal analysis of out-of-pocket expenditure (OOPE) trajectories for the assessment of cancer's lasting financial impact.Methods:We identified newly diagnosed cancer patients and constructed matched control group of noncancer participants from the 2002-2018 Health and Retirement Study. Outcomes included monthly OOPE for prescription drugs (RX-OOPE_MONTHLY) and OOPE for medical services other than drugs in the past 2 years (non-RX-OOPE_2YR), consumer debt, and new individual retirement account (IRA) withdrawals. Generalized linear models were used to compare OOPEs between cancer and matched control groups. Logistic regressions were used to compare household-level consumer debt or early IRA withdrawal. Subgroup analysis stratified patients by age, health status, and household income, with the low-income group stratified by Medicaid coverage. All statistical tests were 2-sided.Results:The study cohort included 2022 cancer patients and 10 110 participants in the matched noncancer control group. Mean non-RX-OOPE_2YR of cancer patients was similar to that of participants in the matched control group before diagnosis but statistically significantly higher at diagnosis ($1157, P < .001), 2 ($511, P < .001) years, 4 ($360, P = .006) years, and 6 ($430, P = .01) years after diagnosis. A similar pattern was observed in RX-OOPE_MONTHLY. A statistically significantly higher proportion of cancer patients incurred consumer debt at diagnosis (34.5% vs 29.9%; P < .001) and 2 years after (32.5% vs 28.2%; P = .002). There was no statistically significant difference in new IRA withdrawals. Patients experienced lasting financial consequences following cancer diagnosis that were most pronounced among patients aged 65 years and older, in good-to-excellent health at baseline, and with low income, but without Medicaid coverage.Conclusions:Policies to reduce costs and expand insurance coverage options while reducing cost-sharing are needed.",https://pubmed.ncbi.nlm.nih.gov//35325197/,2020
